ProductID, Symbol                , ExchangeID, Bloomberg code,Name
4663906, ERCB , XETR     ,ERCB GY EQUITY    ,ERICSSON LM-B SHS
4663907,6954, XTKS     ,6954 JT EQUITY    ,FANUC CORP
4663908,4502, XTKS     ,4502 JT EQUITY    ,TAKEDA PHARMACEUTICAL CO LTD
4663909, BT                    , XNAS     ,BT UN EQUITY      ,BT GROUP PLC-SPON ADR
4663910, TJX                   , XNAS     ,TJX UN EQUITY     ,TJX COMPANIES INC
4663911, SYNN , XVTX     ,SYNN VX EQUITY    ,SYNGENTA AG-REG
4663912, SYT                   , XNAS     ,SYT UN EQUITY     ,SYNGENTA AG-ADR
4663913,8802, XTKS     ,8802 JT EQUITY    ,MITSUBISHI ESTATE CO LTD
4663914, BCE                   , XNAS     ,BCE UN EQUITY     ,BCE INC
4663915, POT                   , XNAS     ,POT UN EQUITY     ,POTASH CORP OF SASKATCHEWAN
4663916, LIN , XETR     ,LIN GY EQUITY     ,LINDE AG
4663917,6501, XTKS     ,6501 JT EQUITY    ,HITACHI LTD
4663918, MRK , XETR     ,MRK GY EQUITY     ,MERCK KGAA
4663919, ING                   , XNAS     ,ING UN EQUITY     ,ING GROEP N.V.-SPONSORED ADR
4663920, BEN                   , XNAS     ,BEN UN EQUITY     ,FRANKLIN RESOURCES INC
4663921, EOAN , XETR     ,EOAN GY EQUITY    ,E.ON SE
4663922, TRP                   , XNAS     ,TRP UN EQUITY     ,TRANSCANADA CORP
4663923, D                     , XNAS     ,D UN EQUITY       ,DOMINION RESOURCES INC/VA
4663924,8604, XTKS     ,8604 JT EQUITY    ,NOMURA HOLDINGS INC
4663925, DE                    , XNAS     ,DE UN EQUITY      ,DEERE & CO
4663926, IBE , XMAD     ,IBE SM EQUITY     ,IBERDROLA SA
4663927, TEL                   , XOSL     ,TEL NO EQUITY     ,TELENOR ASA
4663928, MUV2 , XETR     ,MUV2 GY EQUITY    ,MUENCHENER RUECKVER AG-REG
4663929, TEVA                  , XNAS     ,TEVA UN EQUITY    ,TEVA PHARMACEUTICAL-SP ADR
4663930, NEE                   , XNAS     ,NEE UN EQUITY     ,NEXTERA ENERGY INC
4663931, CNQ                   , XNAS     ,CNQ UN EQUITY     ,CANADIAN NATURAL RESOURCES
4663932, D05                   , XSES     ,DBS SP EQUITY     ,DBS GROUP HOLDINGS LTD
4663933,3382, XTKS     ,3382 JT EQUITY    ,SEVEN & I HOLDINGS CO LTD
4663934, APA                   , XNAS     ,APA UN EQUITY     ,APACHE CORP
4663935,ATCOB,XSTO,ATCOB SS Equity,ATCOB (GIRO CONTRACT)
4663935, ATCOB , XSTO     ,ATCOB SS EQUITY   ,ATLAS COPCO AB-B SHS
4663936, ATCOA , XSTO     ,ATCOA SS EQUITY   ,ATLAS COPCO AB-A SHS
4663937,8058, XTKS     ,8058 JT EQUITY    ,MITSUBISHI CORP
4663938, KMP                   , XNAS     ,KMP UN EQUITY     ,KINDER MORGAN ENERGY PRTNRS
4663939, DPW , XETR     ,DPW GY EQUITY     ,DEUTSCHE POST AG-REG
4663940, TRV                   , XNAS     ,TRV UN EQUITY     ,TRAVELERS COS INC/THE
4663941,9020, XTKS     ,9020 JT EQUITY    ,EAST JAPAN RAILWAY CO
4663942, VTI                   , ARCX     ,VTI UP EQUITY     ,VANGUARD US TOTAL STOCK MKT
4663943, YUM                   , XNAS     ,YUM UN EQUITY     ,YUM! BRANDS INC
4663944, UHR , XVTX     ,UHR VX EQUITY     ,SWATCH GROUP AG/THE-BR
4663945, CM                    , XNAS     ,CM UN EQUITY      ,CAN IMPERIAL BK OF COMMERCE
4663946, VOLVO A , XSTO     ,VOLVA SS EQUITY   ,VOLVO AB-A SHS
4663947, VOLVB , XSTO     ,VOLVB SS EQUITY   ,VOLVO AB-B SHS
4663948, WPL                   , XASX     ,WPL AU EQUITY     ,WOODSIDE PETROLEUM LTD
